Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,reviews
A320,Couple Leisure,Economy Class,Geneva to Gatwick,January 2020,,,,,1.0,1,no,,"✅ Trip Verified |  BA cancelled my return flight on 09-Feb-20 from Geneva to Gatwick due to storm Ciara. They rebooked me onto a later flight, then cancelled that as well. Since then, I heard nothing more and I was left on my own to buy a new return flight. I've tried calling them several times every day, but they are not answering their phones, claiming they are too busy to talk to customers. They cancelled my flight, so I want a refund, but so far there is no way of getting through to them. "
,Solo Leisure,Economy Class,Mexico City to Manchester via London,January 2020,5.0,5.0,4.0,5.0,5.0,4,yes,,"✅ Trip Verified |  Mexico City to Manchester via London. My plane from Mexico City to London was smooth. Entertainment was quite nice and so was the food; although I chose a window seat and was never informed it wasn't actually the window, but a wall! The crew was amazingly kind and lovely. They're always checking on you, and we even got a Magnum! Loved this airline for my first flight ever."
A321,Solo Leisure,Business Class,London Heathrow to Sofia,October 2019,4.0,4.0,4.0,,5.0,4,yes,2.0,"✅ Trip Verified | London Heathrow to Sofia. A good experience onboard one of BAs recently refreshed A321 cabins, although unfortunately without any in-seat power supply, contrary to what is stated on their website about which aircraft types were due to get in-seat power following refresh. Another thing to add to the list of inconsistencies with the BA product. However the flight overall was very good. As usual an extremely efficient pre-flight experience at Heathrow's excellent T5. Fast track security was fast, as expected. Galleries Club Lounge was pretty good, and not too crowded. Boarding was smooth with priority boarding honoured as usual. The crew were excellent and provided a very attentive service, with plently of drinks runs given the slightly longer distance of the flight. The food pretty good for a shorthaul business class offering. I found the seats to be pretty comfortable and legroom reasonable for a 5 ft 11"" chap. So overall a good experience with no major complaints."
,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,July 2019,2.0,3.0,2.0,,1.0,1,no,,"✅ Trip Verified |  I was to fly to Melbourne from Manchester via London and Singapore in July 2019. Arriving late to board my Heathrow flight, the Check-In-Staff discussed my dilemma with her supervisor. Only option being to find my way to Heathrow. I somehow managed to get to Heathrow in time where only the Singapore to Melbourne Boarding Pass was issued. I was told that because Manchester to Heathrow flight was missed, my Heathrow to Singapore was cancelled. "
A321neo,Business,Business Class,Madrid to London ,January 2020,2.0,3.0,2.0,1.0,3.0,2,no,1.0,"✅ Trip Verified |  Madrid to London. I keep giving BA the benefit of the doubt, but things are getting worse not better. This A321 has cramped business class seats, no middle table any more and frankly this is a pathetic premium cabin. Despite every statement they make about catering improvements, i simply refer to meal photos on this route in 2016 or 2017 to see they have severely cut back on meal portions and cost. Iberia staff in  Madrid were all very nice, cabin staff okay, but overall Club Europe is not worth the money - don't waste your money on this.  "
A320,Family Leisure,Economy Class,Prague to London,January 2020,5.0,5.0,,,3.0,5,yes,3.0,"✅ Trip Verified |  Prague to London. This is the first time I have flown with British Airways. The flight departed earlier than intended and got to Heathrow about 5 minutes early. However at Heathrow, there was a plane in the way as we had arrived early. A negative was at the check-in, partly the website’s fault, as we had done the online check in. We selected the amount of bags we each had. It said we would have to pay extra, and we spent forever at the checkin because we had to pay £65 for each bag. Apart from those negatives and the delay, I would definitely fly this airline again."
A380-800,Couple Leisure,Business Class,Johannesburg to London,January 2020,3.0,4.0,3.0,3.0,3.0,3,yes,,"✅ Trip Verified |  Johannesburg to London. Whoever designed the refurbished Galleries Lounge at JNB has no understanding of acoustics, as every syllable of a Facetime conversation was audible 20 feet away. Add in different languages and some degree of inebriation as you have a recipe for an unrelaxing experience. Thankfully, the upper deck of the A380 was more civilised, with an efficient, if slightly distant, cabin crew who ensured that everyone was fed and watered by 2 hours after takeoff, allowing plenty of time for sleep. Food was mediocre and I've given up expecting anything more from BA's business class product. The White Company bedding is more of a gimmick than a genuine enhancement, and breakfast has become rather perfunctory, with no pastries or bread apart from a solitary croissant. Arrival at a chilly LHR was ahead of schedule and we were curbside 30 minutes after landing. Reliability is currently BA's strongest card."
Boeing 777-200,Business,Business Class,Las Vegas to Gatwick,January 2020,2.0,2.0,2.0,4.0,4.0,1,no,,"✅ Trip Verified |  Las Vegas to Gatwick. A very disappointing service for Club World, it felt like I was travelling in economy (with attitude). Especially considering the very high cost of the flight (I've paid half as much less for business class returns to Australia). We got off to a bad start when offered one third of a glass of champagne (about 2 cm in the bottom of the glass). My initial drink after take off was not what I ordered, when I queried it, I got a lecture on this was how it should be. No wine arrived with dinner, until I asked for it a second time (out of stock of the first choice), no second glass of wine offered. Yes, I could have used the call button, but 1/3 of a glass of champagne and one glass of wine being offered on a 10 hour business class flight? Other than the initial bottle of water, and a glass of water with dinner, no other water was offered until I got up and went to the galley to ask. The good news is the food was good and well presented. Although the promised (on the menu) selection of pastries with breakfast were not served (I later walked past the galley to see the crew eating them for their own breakfast). We had dutifully filled in the pre-order card for breakfast, only to find we were being asked again at breakfast. Sleeping was impossible due to the temperature being so high, I actually thought I had a fever (I was so drenched in sweat) until I spoke to a colleague who was the same. I'm used to flying ultra long haul with Middle Eastern airlines, so I'm used to hot cabins, but this was crazy. Only when the crew dropped the temperature a few hours before landing (presumably to wake us up), was it bearable enough to sleep. Combined with the a very dry cabin air, it was very unpleasant. No need to say anything much about the eight across seating as I know the seats are being upgraded over the next few years, other than they are very cramped if sitting next to a window. I do like the semi-reclined position for take off and landing though. I have fairly big shoulders and found the seat width very restrictive. There is nowhere to put your spectacles or bottles of water if lying down. Being on the second aisle, we had to join in with the economy passengers queuing to disembark, so it wasn't quick. At no point did any member of the cabin crew introduce themselves other than via a general PA announcement. The seats I can forgive as they are being addressed, but the service was budget airline level. Really BA, you need to do much, much better. The ground staff in Las Vegas were fast, friendly and efficient. The lounge was something from the dark ages, all 1970's wooden panels."
Boeing 747-400,Business,Business Class,San Diego to Stockholm via London,January 2020,5.0,5.0,5.0,3.0,1.0,3,no,1.0,"✅ Trip Verified |  San Diego to Stockholm via London. Had I written this review immediately on landing it would have been zero out of ten. But I realise this would be unfair- BA is a game of two halves. The inflight experience is immeasurably improved from a few years ago. The food in Club is excellent, the cabin crew attentive and professional, the pilots are the best in the industry and IFE absolutely fine. The Club World product is competitive with the better European airlines such as Lufthansa and streets ahead of most US carriers. The problems start when anything goes wrong - which it frequently does given the mostly old fleet especially on non-core routes. In my case, the flight was cancelled due to the inbound aircraft (an ancient 747) going technical. Then a comedy of errors. First the hotel vouchers just said ‘Holiday Inn’. There are about 15 in San Diego- cue hordes of passengers looking for shuttle buses in the wrong place, arriving at hotels with no booking etc etc. Next, the replacement flights. The clunky app kept just saying error for some reason. Eventually the full website on a PC showed my replacement flights. But no booking refs or any statement if these were being offered to me, were confirmed or whatever. On calling BA they wouldn’t talk to me because I ‘failed’ security- I didn’t know the billing address of the specific booking which was done by my company’s travel department despite having a full executive club account that was associated with the booking and which they could have used. The next day I went to take the replacement flights- Alaska Airlines to Newark then SAS to Stockholm. Despite getting a boarding card and making it to my seat on the plane, I was pulled off minutes before takeoff. BA had not paid for the flight! A reservation had been created but no ticket issued. BA then booked me on a roundabout route back via Chicago plus a 12 hour layover from 4am to 4pm, getting me home over 36 hours after my original reservation. Later I spotted that the next BA flight which would get me home much sooner now had tickets available online, why was I not on this? When I called they had no explanation and only agreed to ‘exceptionally’ change my flight again after I complained about all of the above. Finally, I arrived home after a 24 hour delay and a roller coaster of incompetence. In summary, when all goes well, BA is better than it was and staff are doing a heroic inflight job. But old planes, rubbish back office IT infrastructure and plain incompetence mean this airline can be hell if anything goes wrong. And bear in mind I was travelling in business class- who knows how they treat economy passengers."
A320,Couple Leisure,Business Class,Cape Town to Johannesburg,January 2020,4.0,4.0,3.0,,4.0,4,yes,,"Not Verified |  Cape Town to Johannesburg. The SLOW lounge at Cape Town continues to impress by the standard of service and the generous array of food and drink, including ingenious wine-dispensing machines. Boarding was quick and take-off was exactly on time. There was some turbulence but the captain kept passengers well informed. The Club meal was the usual offering with the hot options displayed on a tray. Arrival was 20 minutes ahead of schedule."
,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen ,December 2019,5.0,5.0,5.0,5.0,5.0,5,yes,1.0,"✅ Trip Verified | On 4th of December before my flight's departure I got my purse stolen in NYC with all my money and my passport in it. Thanks to the kind strangers I managed to get to the Danish embassy and get a temporary passport. When I arrived at the JFK Airport it was too late and I wasn't allowed to drop off my luggage. With tears in my eyes I went to the desk where they sell tickets and the employee was so kind and helpful - she booked me on to the next flight for free, got me through security without having to wait in the line and she informed the flight crew what happened. When I finally sat down the flight crew were so kind and gave me water and food as I haven't had any food for the whole day as I didn't have any money. I want to say thank you for your service and kindness and for making sure that I got back to Denmark safely. I was overwhelmed with all the kindness from all the staff! Once again thank you!"
Boeing 787-9,Business,Business Class,Phoenix to London,January 2020,3.0,5.0,4.0,4.0,3.0,5,yes,,"✅ Trip Verified |  Phoenix to London. Since moving to the USA I've been flying BA more than in the past and overall, they provide a more than acceptable service. If you choose your seat in Club World carefully and the crew are in the right mood then they surpass expectations. The new menus and service offering are significantly better than in the past and the wine list more interesting. On this flight the crew were engaging and the food was good. Departed PHX early and arrived into LHR early where immigration and baggage took minutes. If you manage your expectations with BA, then you won't be disappointed with Club World."
Boeing 777-200,Solo Leisure,Economy Class,London Heathrow to Bangkok,January 2020,2.0,4.0,4.0,1.0,4.0,2,no,1.0,"✅ Trip Verified | London Heathrow to Bangkok. Done this route a few times with British Airways over the years, first time and probably last in economy, old plane needs upgrade, poor entertainment system. Uncomfortable seats especially for 10+ hour flight. I know they’re starting to upgrade these planes but still a long time away. The only saving grace was a superb cabin staff in economy."
Boeing 777-200ER,Solo Leisure,Economy Class,Mumbai to Boston via London,January 2020,2.0,5.0,5.0,2.0,1.0,3,yes,1.0,"✅ Trip Verified |  Mumbai to Boston via London. My flight with British airways was really good. The catering was excellent on both flights and even the service was good. However, some of the seats have very limited legroom due to the IFE box blocking space in front of you. Also, BA had misplaced my tennis racket which was checked in. They have a really weird policy that you can't carry your single sports equipment as cabin baggage and instead, you have to check it in. The ground staff was rude at Logan Airport in Boston. Also, they took a week to deliver my racket to my house even though it arrived in Boston 24 hrs after I had come. Even after contacting BA'S Baggage Customer Service, they were speaking rudely to me. They always tried to cut my call in like 2 minutes without even listening to my concern. British Airways needs to improve their ground experience. "
,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",December 2019,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"✅ Trip Verified | I purchased roundtrip tickets for my wife and I to travel from Orlando, Florida to Accra, Ghana and I purchased advance seat assignments. Unfortunately, British Airways only gave me the seats I paid for for one of four international legs our our roundtrip. I have been fighting with British Airways to get my refund for these seat assignments. They have only provided me with refund of $234. Despite several phone calls and filing multiple on-line calls and providing them with detailed, my fightcontinues. Their customer service is really poor. I will never purchase advance seat assignments with them again."
Boeing 787 / A320,Solo Leisure,Economy Class,Toronto to Geneva via London,January 2020,4.0,5.0,4.0,3.0,4.0,3,yes,,"✅ Trip Verified |  Toronto to Geneva via London. I stopped flying BA about three years ago after they dramatically downgraded their service. Apparently things have improved somewhat since, so I decided to give them another try. Overall, I was happy with my experience, save for two major gripes. On the plus side: I flew on new aircraft, which were comfortable, albeit with the usual narrow seats for modern aircraft (same with all airlines). Legroom on the 787-9 was generous and seemed to be more than the official 31"". Pilots were very good and informative, as always with BA. Quality of food on long-haul has definitely improved since the bad old days of soggy pasta and droopy sandwiches; I rather enjoyed the meals served, which were on nice large trays. The IFE was just about adequate, though surprisingly dated for such new aircraft. Cathay Pacific's is far superior. The two major downsides: 1. The new Basic Economy fare. It is really pesky and serves only to disgruntle passengers. BA really need to get rid of it. Virtually everyone on long-haul has to check in a bag, so please just include it in all airfare types. If I wanted to be nickle-and-dimed, I'd fly to Gatwick on a charter airline. Also, not being able to choose a seat even at the time of check-in is infuriating. I was automatically allocated a middle seat even though the entire rear half of the plane was empty! This just goes to show that you will get a middle seat unless you pay. Thankfully, the lady at check-in changed it to a window seat free of charge after I asked nicely. 2. No complimentary catering on short-haul. Seeing as virtually all passengers flying to/from Heathrow are connecting to/from long-haul flights with BA and have spent at least $1,000 on their airfare, I resented a drink and snack not being included on the short-haul segment of my trip. BA should not be treating connecting passengers the same as those on low-cost airlines who only paid a few dollars for a short trip. If BA would get rid of these two new features, I would not hesitate to fly with them again, as everything else about my trip was pleasant. As it is, I would still consider other airlines."
Boeing 777-300,Solo Leisure,First Class,Hong Kong to London,January 2020,4.0,5.0,5.0,4.0,4.0,4,yes,,"✅ Trip Verified | Hong Kong to London Heathrow with British Airways. One of the best flights I’ve had in a premium cabin. The service, seat, food and wine are among the best I’ve experienced. The only gripe I had was the cabin temperature which was quite warm and sleeping was quite impossible at first even with pyjamas on provided by BA. The cabin attendant did my own bed and it was a nice touch. I would not hesitate flying First class with BA on my next flight."
Boeing 787,Business,Economy Class,San Jose to Amsterdam via London,January 2020,1.0,1.0,2.0,3.0,2.0,3,no,,"✅ Trip Verified |  San Jose to Amsterdam via London. Layout of Boeing 787 cabin is poor with rearmost seat not having luggage bins (row 42-44 D, E, and F,). In addition the crew fill the bins over the outer seats (row 42-43 K, J) with their bags and blankets. I would not recommend BA or the 787."
Boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,January 2020,3.0,4.0,4.0,4.0,1.0,2,no,,"✅ Trip Verified |  Singapore to Paris via London. The flight was a ok, dated seating with shakey arms not the most comfortable but a serviceable experience. However our luggage was not loaded onto the flight, the second time this happened now with BA and despite a 13 hour flight, 2 hour stopover, and 1 hour flight to Paris BA did not make any effort to inform us at any time of the issue. Instead after travelling for around 17 hours we had to wait for the baggage to all come and clear before we realised ours was missing. Being a Sunday and most shops close at lunchtime that also left little time to buy emergency items and the despite knowing they hadn’t loaded the baggage they could not find a way to send it quicker than 24 hours after arrival meaning 2 out of 3 days in Paris will be spent without luggage."
A321neo,Solo Leisure,Economy Class,Warsaw to London,January 2020,5.0,5.0,5.0,,4.0,5,yes,,"✅ Trip Verified |  Warsaw to London. Everything went like clockwork and nothing could be disliked about this flight. Professional crew with beams on their faces, new aircraft (it's important to choose a seat no further than row 14 in A321neo, as those seats are the old type Pinnacle seats and have better legroom), very informative captain who told us about expected turbulence before we had taken off (very much appreciated), on time landing and good atmosphere on board! The food in Euro Traveller is unfortunately no longer free, however being in BA's Executive Club you can pay for the food & drinks with avios, which is very convenient. The only drawback I could find is a long queue to the bag check-in at Warsaw Airport - 3 opened check-in counters for approx. 200 people is rather not enough."
Boeing 747-400,Family Leisure,Economy Class,New York  to London Heathrow,January 2020,4.0,5.0,3.0,4.0,5.0,4,yes,,"Not Verified |  New York  to London Heathrow. Very good, staff very nice, comfortable seats, seat recline good enough, food a bit limited. I would recommend BA to others since they are a very good airline."
,Family Leisure,Economy Class,London to Los Angeles,December 2019,2.0,1.0,2.0,,1.0,3,no,1.0,"Not Verified |  London to Los Angeles. Take off was delayed by 3 hrs (which we spent onboard) because of a dent to the door which needed inspection - sure maybe outside of their control. I was flying with my wife and two kids (2 & 4), sitting on bulkhead with 3 seats and using the baby bassinet facility. After take off we saw that the inflight entertainment service (for the whole section - not whole cabin) was not working. And we were sitting into an 11.5hr overnight flight with two little ones, meaning sleeping was not going to happen. We contacted the cabin crew who made zero accommodation. Sorry they said. During the flight the cabin crew stood in the galley behind the bulkhead talking loudly while the lights were dimmed, and kept slamming drawers as they moved things around. To cap it off, we landed at 10pm ET and they had left behind our baby car seat and stroller. We finally received them back 2 days later. Conclusion, never fly BA again."
Boeing 737-800,Couple Leisure,Business Class,Johannesburg to Cape Town,January 2020,3.0,3.0,3.0,,4.0,4,yes,,"Not Verified |  British Airways (Comair) Johannesburg to Cape Town route is never less than fully subscribed, and on this occasion the equivalent of Club Europe stretched back 9 rows. Service followed the usual pattern of a drink (champagne included) and Comair’s idiosyncratic ‘four-course meal’, I.e. a tiny salad, a hot course that one could see before choosing, a minute iced cake and a minuscule cheese & biscuits. The hot meal is invariably scorched around the edges. Comair really need to move with the times to a more modern business class offering. Aside from the meal, the flight was typically efficient, with arrival slightly ahead of schedule."
,Business,Business Class,London to Bangkok,January 2020,2.0,1.0,1.0,,2.0,2,no,,"✅ Trip Verified |  London to Bangkok. It's not what it used to be but most importantly, it does not deliver what it promises any longer.  Disappointing food, outdated and uncomfortable seats, appalling baggage handling at LHR, and  mediocre crew service onboard. The customer service online is just as bad. My most recent experience was early January 2020 when they put me next to a couple with a newborn baby in Club World on an overnight flight from LHR to BKK. Baby screams, could not sleep and as the cabin was full, they could not move me. The couple was very nice, apologetic and we just had to bear the 12 hours long haul flight together. However, my dealings with customer service was appalling. When is BA going to offer a kids free zone in Club World for people who need to work or sleep?"
A380,Couple Leisure,Business Class,London to Johannesburg,January 2020,4.0,4.0,4.0,3.0,4.0,4,yes,2.0,"Not Verified |  London to Johannesburg. Departure was slightly delayed by 50 mph gusts, but once away  the flight was the usual comfortable experience on the upper deck. Seats 53J/K are some of the best as long as the galley is quiet. The dinner service was efficient and we were ready for sleep after a film. Cabin crew were pleasant and attentive. Toilets were kept clean throughout the flight. Arrival was 30 minutes behind time, but baggage collection and customs were mercifully quick, so we were in the SLOW lounge just 40 minutes after landing. Overall, a good flight."
Boeing 777-200 / 747-400,Solo Leisure,Economy Class,Boston to Mumbai via London,December 2019,2.0,5.0,4.0,2.0,1.0,5,yes,,"✅ Trip Verified |  Overall a very comfortable flight with British Airways. Both of my flights took off on time and reached on time. I was really excited to fly BA since they changed the aircraft from Boeing 777-200 to a Boeing 747-400 which is known as the queen of the skies.  The flight attendants are very nice and professional towards passengers, they did their best to speed up the boarding process since both of my flights were full and we took off. Everything went well on my first flight and also flight time went short over the atlantic due to great tail winds. On my second flight to Mumbai, the flight attendants were polite and respectful and gave the best service. However, during the lunch service, they ran out of vegetarian food option and had to fetch for vegetarian food in other cabins and even give crew meals to passengers who were vegetarian. Overall, my both flights with BA were good. There are some shortcomings on their older fleet like lack of USB ports, Power Outlet, Old IFE, the IFE box in front of you that blocks your legroom.  BA  need to refurbish their old cabins on Boeing 777-200 and Boeing 747,if they still plan to use them on longer flights."
,Couple Leisure,Business Class,Los Angeles to London,January 2020,1.0,1.0,1.0,,1.0,1,no,,"✅ Trip Verified |  Los Angeles to London on 6th January, and my husbands seat was broken. The Customer Service Manager was rude to me and made insinuations about our intentions. It was a dreadful way to end our honeymoon and left a bitter taste. A truly horrendous experience."
,Solo Leisure,Premium Economy,Gatwick to Cancun,January 2020,3.0,1.0,1.0,2.0,3.0,2,no,1.0,✅ Trip Verified |  Gatwick to Cancun. Flight was late. My food was bad and it was not possible to change. I paid for the internet which did not work for me most of the time. Was advised to report but no instructions to where or how.
A320,Solo Leisure,Business Class,London Gatwick to Glasgow,January 2020,4.0,5.0,4.0,,5.0,4,yes,,"✅ Trip Verified | 
Fantastic flight. Travelled solo from London Gatwick to Glasgow in British Airway’s Club Europe cabin and could not fault one aspect of the service. I arrived at Gatwick around 2 hours prior to departure. All BA Club World passengers are entitled to fast track security at Gatwick. This was quick and the staff were pleasant enough. The lounge at Gatwick was clean and modern and made for a nice relaxing start to the journey. Boarding was quick and the flight departed on-time and landed 10 minutes early, the crew were very attentive and friendly. The in-flight meal was delicious (I had smoked Salmon served with curried rice). Overall a really lovely flying experience. Had there been ever-so-slightly more leg room and in-flight entertainment I’d have given this flight 10/10! A fantastic crew who were a credit to the airline."
Boeing 787-8,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,December 2019,5.0,5.0,5.0,,4.0,5,yes,,"✅ Trip Verified |  Rio De Janeiro to London Heathrow. Love this aircraft, only a 3 Class, Business, World Traveller Plus and Economy Class. 2 Cabins in Business class Front 3 rows and Rear 2 Rows. I had seat 3A, In my opinion the seat, Window seat with a bit more space than the usual seat (at 6'4'' a little extra helps) very private tucked behind second galley area, toilet is over the other side J/K. I settled in to sleep and did not have an evening meal. Crew very accommodating as they offered water bottles immediately. A good few hours sleep as normal and woke up about 10 minutes before breakfast. I really enjoyed the fruit, yoghurt, muesli and the full English Breakfast. All in all great service, Good flight and felt fully relaxed."
A320,Business,Business Class,Gatwick to Tirana,January 2020,1.0,3.0,2.0,1.0,4.0,2,yes,5.0,"✅ Trip Verified |  Gatwick to Tirana. I was incredibly disappointed by the service provided on this flight, because it was virtually impossible for me to differentiate what made this flight different from being in economy. Business class passengers boarded at the same time as economy class passengers, there was no curtain dividing economy class from business class, and the people in economy class had taken the liberty of removing my cabin bag from my space above my seat, to three seats behind me. . The seats were the same seats you have in economy, the difference being that the middle seat is empty, thus creating a divide between window and aisle seats.  I encountered odd problems with the meal as well - the lovely cabin crew member notified me that I had no other choice but to eat pasta for dinner because other choices had finished. You are better off in economy as you pay less and get the same service. Flight left on time and landed early. British Airways have in my opinion the  best inflight W-Fi service. For 10 pounds you get unlimited, very high speed wi-fi where you can stream YouTube videos. They offer cheaper packages as well where you can get unlimited texts."
A320,Couple Leisure,Business Class,Keflavik to London Heathrow,January 2020,3.0,5.0,5.0,,4.0,5,yes,,"Not Verified | Keflavik to London Heathrow. Cabin crew were amazing. Weather was terrifying as we drove to the airport so we knew things were going to be tough. Expecting a delay and seeing other European flights were cancelled we expected the same but then were surprised to see our flight boarding. Snow in blizzard conditions, we were surprised but got settled in our seats. Crew very friendly and a long story short after 3 hours on the ground waiting for the di-icing machine we finally made our way to take off. All the staff were so relaxed and calm with all passengers including those who had connecting flights they sat with each one and personally looked at their options the BA online app to help them. Non-alcoholic drinks and snacks were provided during this time. The first officer kept us informed all the time that is was not BA fault that the de-icing machine was delayed so much eventually procedures done we were ready for take-off. How the pilot and team managed this in these conditions I will never now but it was a smooth take off an when through the clouds a smooth journey all the way back to Heathrow. Cabin crew provided excellent service. Being business we were lucky to have champagne and our meals were excellent. Veg shepherds pie and chicken curry both lovely. So just want to thank you BA. We know you get a lot of negative reviews but this is to say we can't fault you. Particularly the crew who made a real effort to talk to all of us. Well done."
,Couple Leisure,Economy Class,London Heathrow to Vancouver,January 2020,1.0,3.0,1.0,1.0,2.0,1,no,1.0,"Not Verified |  Fly economy and you’ll be paying more for an awful service. The London to Vancouver route uses old planes, the oldest inflight entertainment systems and my food was inedible. "
,Couple Leisure,Economy Class,Tokyo to London Heathrow,January 2020,2.0,1.0,1.0,1.0,5.0,1,no,1.0,✅ Trip Verified | My partner and I spent Christmas in Tokyo. The flight over was enjoyable the staff were polite and helpful and it all ran smoothly. Our experience back home was completely different. The staff were incredibly rude and lazy. The flight was 12 hours and mid flight my partner asked for a bottle of water. The lady very rudely said she was going the other way and that my partner could head to the back and help herself. My partner headed to the back where there were two more ladies sitting and when requested they pointed to a shelf my partner got the water from. Both our TV's stopped working mid flight also for a period of 40 minutes. We asked the staff if they could fix the problem. The lady said she would try while sighing. As 25 year olds deciding on which airline brands to remain loyal to I can tell you British Airways will not be it. Terrible customer service.
A380,Couple Leisure,Business Class,London to Hong Kong,December 2019,3.0,4.0,3.0,4.0,1.0,3,no,,"✅ Trip Verified |  London to Hong Kong. At the entrance to the BA business lounge there was a sign saying Silver and Gold members only. My membership had just dropped to bronze while my wife's remained at silver. At the reception desk I asked why bronze wasn't allowed and was only told I could enter as a guest of my wife's. When I got to the entrance we showed our boarding passes and I can only assume the lady must have overheard our previous conversation as my wife was asked if she was bringing me in as her guest. No warm greeting, just a job's worth high handed attitude. Neither of the BA reps bothered to check my boarding pass properly. Had they done so they would have seen that it was a business class ticket and I had the right to enter under my own steam anyway. Fortunately the cabin staff were friendly and much nicer."
Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,January 2020,1.0,3.0,2.0,2.0,1.0,1,no,1.0,"Not Verified |  Los Angeles to London Heathrow. If I could give BA a zero stars I would. They have the worst customer service. I’ve flown many airlines around the world with my family, but surely we will never fly with British Airways again. They gave our seats away on the return flight and would not address this after purchasing expensive business class tickets 4.5 months in advance to ensure that our family flew 12 hour flight together. The flight to London didn’t have the best service, most toilets were out of service. The beds in business class are the most uncomfortable of all business class I’ve flown. The check-in process at Heathrow was disastrous. The most inefficient process with no human assistances. The limited ones available were all slammed with line of customers. I would highly suggest you refrain from using this carrier. I wish I would have done a bit of research prior to flying with them."
A320,Solo Leisure,Economy Class,Istanbul to London,January 2020,2.0,2.0,,,1.0,1,no,,"✅ Trip Verified |  Istanbul to London. We had to wait for ages to check into our flight after being advised to turn up 3 hrs before departure time to check in. We had to wait for 40 minutes before any check in staff turned up. Once they did, the staff were surly and rude. On the flight and there was no IFE, no free drink or snack or  a map to track the flight. The onboard crew were a bit chaotic. Serving M&S food for purchase. The flight was not delayed by too much and relatively smooth. However the BA product is now tired and slightly pathetic. "
,Solo Leisure,Economy Class,London to Bucharest,December 2019,2.0,2.0,1.0,,1.0,1,no,,"✅ Trip Verified |  London to Bucharest. On my flight the hot food finished half way through - I was seated on row 22 and by the time the food cart reached my row, there were no sandwiches left to purchase. The fitting of the cabin was horrendous. Seat change from one row to the other 24h before take off cost me an additional 13 gbp. "
Boeing 787-9,Solo Leisure,Business Class,London to Rio De Janeiro,December 2019,5.0,5.0,5.0,5.0,4.0,5,yes,2.0,"✅ Trip Verified |  London Heathrow to Rio De Janeiro. Not the usual aircraft for this route but it is one of my favourites, this aircraft today has a First Class but was flown empty as it usually only offers Club World. Flight not full, Seated in 7F aisle seat, no one in the middle seat so very pleasant. It is away from the Toilet over at 7A/B but next to galley area which was great as it is a day flight. Food (pre-ordered) was very good as usual, plenty of drinks offered crew very keen to assist, again nothing any trouble at all. I did watch some films but I had already been on a previous BA Long Haul so was not really looking for much. I had some rest as it was a long day and I getting a cold! Arrived late due to a technical problem at Heathrow, they managed to fix the problem on the taxiway to the runway but after an hour I must say I didn't really need to be told they were trying to fix the problem rather than return to the departure gate. All in all another very good flight."
A321neo,Family Leisure,Economy Class,London to Athens,December 2019,3.0,1.0,1.0,,3.0,4,no,,"✅ Trip Verified |  London to Athens. The aircraft and the flight quality were good, but they don't provide free food and drink. It was unacceptable they did not have sufficient supply for goods they were selling, so it ended quickly."
,Solo Leisure,Economy Class,Copenhagen to London,December 2019,2.0,1.0,1.0,,1.0,1,no,,"✅ Trip Verified |  Copenhagen to London. Super slow, had to wait for buses which were delayed. Also packed the buses to tight with people. Where too far from arrival terminals. Service bad from staff. Coming to Terminal 5 is the worst terminal on Heathrow. The food and beverage on board was terrible for the price. For the price of the airline ticket the whole experience was way below expected service and time of staff."
A320,Solo Leisure,Economy Class,Budapest to Billund via London,December 2019,3.0,3.0,2.0,1.0,4.0,3,yes,,"✅ Trip Verified |  Budapest to Billund return via London on 18 and 28 Dec. 2019. A320 aircrafts. Check-In in Budapest had a narrow timeslot of 2 hours before departure with long queues. I was not recognised as Oneworld elite flyer (hold a Gold Card with Qatar Airways) at check-in and had to struggle to get 2 bags accepted as inscribed luggage. I was denied lounge access as QR does not honour 3rd party lounges any more unless flying on QR. There is no Oneworld  lounge in Budapest, so BA uses Menzies Lounge who would not accept me unless I was with an entitled Oneworld card different from Qatar Airways. For BA I do not have status. In London granted access to any Oneworld lounge. Onboard, food and drinks with hefty price tags,  water is not free. Flights were full, but on time. I found that the onboard charity collection by FAs is inappropriate and intrusive. Luggage delivered perfectly. Return trips (2 legs) were both full flights but departed slightly early. Granted lounge access in Billund in the decent King Amlet and BA Galleries First in T3 in London. Loads of good, hot foods and good beers and wines. Onboard there is no IFE, no seat recline. Mediocre, not cheap. But the FFP is among the best in Oneworld and the gold status of BA is very rewarding."
,Solo Leisure,Economy Class,Cape Town to Brussels via London,December 2019,3.0,5.0,4.0,3.0,4.0,4,yes,3.0,Not Verified |  I recently flew from Cape Town in South Africa via London to Brussels. It was our anniversary and we were treated to a glass of bubbly after take off. The staff were so friendly and I cannot even complain about the food served on board. Which I might add I seldom enjoy food served on flights.
